Page Name,Child,Column,Last edited by,Parent,Tags,Problems
"Adding Hydrogen : Hydrogenation [irr,syn]",,"Oct 10, 2020 7:00 PM",Soutrik das,"../Addition%20Reactions%206f3a3b595e1b4a359a0a404ce66a6f57.md, ../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md",,
EMI,"../A%20conducting%20wire%20of%20parabolic%20shape,%20initially%20y=%207a79f0c4003140cf8d95b60ea48bb24c.md, ../Some%20easy%20EMI%20questions%202397dc1e88fc4cad8627975e358224bf.md","Oct 12, 2020 7:08 PM",Soutrik das,,physics,
Force on a Current carrying rod in a Magnetic Field,,"Aug 29, 2020 2:19 PM",Soutrik das,,,
Thermodynamic v/s Kinematic Control (Reaction Coordinate Diagram),../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,"Oct 9, 2020 8:40 PM",Soutrik das,"../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md, ../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md",chemistry,
Intermediate v/s Transition State,,"Aug 22, 2020 1:31 PM",Soutrik das,../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md,chemistry,
"Hammond's Postulate ",,"Oct 9, 2020 9:16 PM",Soutrik das,"../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, ../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md",chemistry,
"RDS-Rate Determining Step ",../Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,"Aug 22, 2020 6:24 PM",Soutrik das,"../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md",chemistry,
"Reaction Coordinate ","../RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md, ../Intermediate%20v%20s%20Transition%20State%201393c38934a44043b5d38e701918b3e0.md, ../Hammond's%20Postulate%20af25b91f7adb4392bbf7f457fba353dc.md, ../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md","Oct 9, 2020 9:15 PM",Soutrik das,"../Chemical%20Kinetics%206115c5ceead24fa2962cffcea31cdf68.md, ../Thermodynamics%209da00a94568c4336811d10e519fc1adc.md",chemistry,
Degrees of Freedom,,"Aug 22, 2020 8:01 AM",Soutrik das,,"chemistry, physics",
"Writing Rate Law of Complex Reactions v/s Simple Reactions ",,"Aug 27, 2020 1:59 PM",Soutrik das,../Determining%20the%20Activation%20Energy%20of%20Complex%20React%2075b4103b952f4cd8992d1dc48cec1faf.md,chemistry,
Determining the Activation Energy of Complex Reactions,../Writing%20Rate%20Law%20of%20Complex%20Reactions%20v%20s%20Simple%20R%202924505dd0f14129ad2e13c23aa928bc.md,"Aug 24, 2020 9:46 PM",Soutrik das,../RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md,chemistry,
Chemical Kinetics vid 11,"../Molecularity%2071a39fafb49849cea45265856083e9c4.md, ../Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, ../Complex%20or%20Multi-Step%20Reaction%203b729440cad14399b0f6630385080588.md","Aug 24, 2020 9:46 PM",Soutrik das,,chemistry,
Molecularity,"../Elementary%20or%20Single%20Step%20Reaction%201b51c9f540e4451982752ea00c75375c.md, ../Order%20(Chemistry)%200e3bfebe8b74420ebd803c8e10b1206f.md","Aug 26, 2020 9:09 AM",Sachin Sadhwani,../Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md,chemistry,
Elementary or Single Step Reaction,,"Aug 24, 2020 9:46 PM",Soutrik das,"../Molecularity%2071a39fafb49849cea45265856083e9c4.md, ../Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md",chemistry,
Complex or Multi-Step Reaction,../RDS-Rate%20Determining%20Step%202a3d4e6956d64d1dbf54b95eaab6bfc0.md,"Aug 24, 2020 9:46 PM",Soutrik das,../Chemical%20Kinetics%20vid%2011%2053cd7ab7366d434a9d24500cdab1107a.md,chemistry,
$\int_1^e \cfrac{\pi \cos{(\pi \ln x)}}{x}dx$,,"Oct 9, 2020 9:21 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,"maths, question",
Writing Techniques,,"Sep 30, 2020 9:48 PM",Soutrik das,,,
Equilibrium Constant ( Decay Constant),,"Aug 25, 2020 1:55 PM",Soutrik das,,"chemistry, physics",
Types of Chemical Reactions,,"Aug 23, 2020 1:13 PM",Soutrik das,,chemistry,
Order (Chemistry),,"Aug 24, 2020 9:46 PM",Soutrik das,../Molecularity%2071a39fafb49849cea45265856083e9c4.md,chemistry,
Gibbs Free Energy,,"Aug 24, 2020 7:53 PM",Soutrik das,,,
"Polar Coordinates ",,"Aug 24, 2020 9:45 PM",Soutrik das,,maths,
Arrhenius equation,,"Aug 24, 2020 9:48 PM",Soutrik das,,chemistry,
Magnetic North Pole v/s Geomagnetic North Pole,,"Oct 9, 2020 9:23 PM",Soutrik das,../Magnetism%2044758a8789a747ddb56b2e42e99d3a7f.md,physics,
"Normality , Molality , Molarity , Formality",,"Aug 25, 2020 7:21 PM",Soutrik das,,chemistry,
Exact Differentials,,"Aug 25, 2020 7:28 PM",Soutrik das,,,
"Two uncharged identical Capacitors A and B , each of Capacitance C, and an inductor of inductance L are arranged as shown in the adjacent figure. At t=0, the switch S1 (left) is closed while the switch S2 (right) remains open. At time t= $t_0=\sqrt{LC\pi /2}$ ,  switch $S_2$ is closed hwile $S_1$ is opened ",,"Oct 9, 2020 9:24 PM",Soutrik das,../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md,question,
"Differential Equation ",../x%5E2(y-x%20frac%7Bdy%7D%7Bdx%7D)=y(%20frac%7Bdy%7D%7Bdx%7D)%5E2%20b4bfda23f40946ed84e1275236a55064.md,"Sep 26, 2020 12:28 PM",Soutrik das,,maths,
Numerical Methods in Engineering With Python by Jaan Kiusalaas (http://z-lib.org/),,"Oct 9, 2020 9:34 PM",Soutrik das,"../Books%20c09fa9d40bfa499ba9545c5017dd2010.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md",book,
Limits  (LCD),../Taylor%20Series%20cbefba1c98e046edb65e62571f7699b6.md,"Aug 30, 2020 1:17 PM",Soutrik das,,maths,
Differentiation,,"Aug 30, 2020 1:17 PM",Soutrik das,,maths,
"Taylor Series ",,"Aug 30, 2020 1:18 PM",Soutrik das,../Limits%20(LCD)%201be0e0236fd64fccb79118584023eb4a.md,maths,
BlackBook,,"Aug 26, 2020 12:24 PM",Soutrik das,,question book,
Tags,,"Oct 10, 2020 7:12 PM",Soutrik das,,,
100 Integrals BlackpenRedPen,"../Copy%20of%202%20int_0%5E1%20frac%7B%20tan%20%5E%7B-1%7D%20x%7D%7Bx%7D%20dx%2020148cd5cf0e4c0c90fdd658cafdadf7.md, ../Copy%20of%202%20int_0%5E%20frac1%7B%20sqrt%202%7D%20frac%7B%20sin%5E%7B-1%7D%20x%7Dx%20852a62b9fbc34efea44c5afbe84aeaa7.md, ../Copy%20of%20int%20sec%5E3%7Bx%7Ddx%208b1bd6d8fe6a417582e858b0f46ad9d2.md, ../Copy%20of%20int%20sin%7Bx%7D%20sec%7B%20x%7D%20tan%7Bx%7D%20dx%2014dbd9994b9d4ecea017a487b6996c21.md, ../Copy%20of%20int%20sin%5E3x%20cdot%20cos%5E2x%20dx%201a1f8d20a18c42ac83532205c0d7b579.md, ../Copy%20of%20int%20frac%7B1%7D%7Bx%5E2%20sqrt%7Bx%5E2+1%7D%7D%206f6430c410964d74a228222f329224c5.md, ../Copy%20of%20int%20cot%5E5%20x%20quad%20dx%20f180139dfe9a4bc9be1f1160bae37fe0.md, ../Copy%20of%20int%20frac%7B3%7D%7Bx%5E2+4x+29%7D%20quad%20dx%2065941b6513b046e490bb724b1a72a4bc.md, ../Copy%20of%20int%20left(%20x+%20frac1x%20right)%5E2%20dx%20b9b646b8e57f48409745dc669b64d83e.md, ../Copy%20of%20int%20x%20sin%5E2%20x%20quad%20dx%20b1f9e2fe23894302b67c7d95635ca49c.md, ../Copy%20of%20int%20frac%7B1%7D%7Bx%5E3+1%7D%20dx%20c1c041a3e8e74741b1f67dcfdf4c4ad5.md, ../Copy%20of%20int%20cos%5E2%20(2x)%20quad%20dx%209cbf2c2198e54030a32f85700fe4ebef.md, ../Copy%20of%20int%20frac%7B2%20sin%20x%7D%7B%20sin%20(2x)%7D%20quad%20dx%20dc2b3f76f40a45afb5dc4d9ba0cc92da.md, ../Copy%20of%20int%20frac%7Bx%20sin%5E%7B-1%7Dx%7D%7B%20sqrt%7B1-x%5E2%7D%7D%20029c26c837f8420aae7d470864c4c3a9.md, ../Copy%20of%20int%20frac%7B%20sin%20x%7D%7B%20sec%20%5E%7B2019%7D%20x%7D%20dx%200eb4ed9ff9b742f4a056d265116910ab.md, ../Copy%20of%20int%20frac1%7Bx+%20sqrt%20x%7D%20dx%205b744a97d0c04dc9bbe66d3c06d5e5d0.md, ../Copy%20of%20int%20frac1%7B%20sqrt%7Be%5Ex%7D%7D%20dx%2045a33adada2f40f4985d26cd08f606c2.md, ../Copy%20of%20frac%7Be%5Ex%20sqrt%7Be%5Ex-1%7D%20%7D%7Be%5Ex+3%7D%2057801bb3b19a4273b3d2138d78a764fe.md, ../Copy%20of%20int%20frac%7B%20cos%20x%7D%7B%20sin%5E2%20x-5%20sin%20x%20-6%7D%20dx%20fd1c62ef8ea3481290747423d83c9c4c.md, ../Copy%20of%20int%20cosec%5E3%20x%20sec%20x%20dx%20be29c8415e9d4228ac3cc442b017ab63.md, ../Copy%20of%20(Q4)%20int(%20x+e%5Ex)%5E2%20dx%20ff6e236ce0e64cc1b426b51b5d20708f.md, ../Copy%20of%20(Q3)%20int%20frac%7Bx%5E2+1%7D%7Bx%5E4-x%5E2+1%7D%20dx%207cc1a6d3d1c144ada5819a9e958d1d86.md, ../Copy%20of%20(Q2)%20int%20frac%7B%20cos%7B2x%7D%7D%7B%20sin%20x+%20cos%20x%7D%20cdo%20bf868af64cfe4d8ebaa5b315336dbdba.md, ../Copy%20of%20(Q1%20)%20int%20tan%20%5E5x%20sec%5E3%20x%20dx%205c97ae4795754c64bd789f365750ee5f.md","Aug 26, 2020 12:56 PM",Soutrik das,,question book,
Copy of Tilted Mirror Problem JEE ADV 2016 p2,,"Aug 26, 2020 12:33 PM",Soutrik das,,question,
Copy of Capillary Tube problem,,"Aug 26, 2020 12:55 PM",Soutrik das,,"physics, question",
"Copy of A current carrying wire heats a metal rod. The wire provides a constant power (P) to the
rod.",,"Aug 26, 2020 12:33 PM",Soutrik das,,question,
"Copy of From What Minimum Height must the Spring be dropped  ",,"Aug 26, 2020 12:55 PM",Soutrik das,,"physics, question",
Copy of $\int_0^1 \left[ \frac{ 1}{x}\right] \left[ \frac{1}{1-x} \right] \left[ 1-\frac{1}{x}\right]dx$,,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
"Copy of A random variable Xhas the following probability distribution:
$X: \quad 1 \quad 2 \quad 3 \quad 4 \quad 5$
$P(X): K^{2} \quad 2 K \quad K \quad 2 K \quad 5 K^{2}$
Then $P(X>2)$ is equal to :
(A) $\frac{23}{36}$
(B) $\frac{7}{12}$
(C) $\frac{1}{36}$
(D) $\frac{1}{6}$",,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
"Copy of If the sides of a triangle are 5,6 and 7 units, then the ex-radii of the tringle are in AP ,GP,HP,nota?",,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
"Copy of The sum of all real values of $k$ for which$\tan \left(\tan ^{-1} 2+\tan ^{-1} 20 k\right)=k$, is",,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
Copy of $\int_{0}^{\pi / 2} \cos \left(\pi \sin ^{2} x\right) d x=$,,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
"Copy of The greatest term in the expansion of $(1+x)^{10}$
when $x=\frac{2}{3}$ is",,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
Copy of What can you understand from this quadratic graph ?,,"Aug 26, 2020 12:54 PM",Soutrik das,,"maths, question",
"Copy of If $a^{2}+b^{2}+c^{2}=1$ then $a b+b c+c a$ lies in the interval $(a, b, c \in R)$",,"Aug 26, 2020 12:55 PM",Soutrik das,,"maths, question",
"Copy of A flask contains a mixture of isohexane and 3 -methylpentane. One of the liquids boils at 63°C while the other boils at 60°C. What is the best way to seperate the two liquids and which one will be distilled out first? ",,"Aug 26, 2020 12:54 PM",Soutrik das,,"chemistry, question",
Copy of The magnitude of work done by a gas that undergoes  reversible reaction along path ABC shown in the figure is ___,,"Aug 26, 2020 12:54 PM",Soutrik das,,"chemistry, question",
"Copy of Ferrous Sulphate Heptahydrate such that Iron has 10 ppm in 100kg of wheat ",,"Aug 26, 2020 12:54 PM",Soutrik das,,"chemistry, question",
"Copy of A circle of area 20 sq. units is centered at point O , suppose $\triangle$ABC is inscribed in that circle and has area 8 sq. units. The central angles are $\alpha$, $\beta$, and  $\gamma$ are as shown in the figure . The value of $(\sin \alpha + \sin \beta + \sin \gamma)$ is equal to ?",,"Aug 26, 2020 12:54 PM",Soutrik das,,"maths, question",
Copy of What happens when you heat Gypsum,,"Aug 26, 2020 12:54 PM",Soutrik das,,"chemistry, question",
Copy of $2\int_0^\frac1{\sqrt 2} \frac{\sin^{-1} x}x dx- \int_0^1 \frac{\tan^{-1} x}x dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $2\int_0^1 \frac{\tan ^{-1} x}{x} dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \sec^3{x}dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \sin^3x \cdot \cos^2x \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
"Copy of $\int \sin{x} \sec{ x}\tan{x}   \ dx$ ",,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \cot^5 x \quad dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{1}{x^2 \sqrt{x^2+1}}$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{1}{x^3+1} dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \left( x+\frac1x  \right)^2 dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{3}{x^2+4x+29} \quad dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \cos^2 (2x) \quad dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{2\sin x}{\sin (2x)} \quad dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{x \sin^{-1}x}{\sqrt{1-x^2}}$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac1{x+\sqrt x} \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{\sin x}{\sec ^{2019} x} dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\frac{e^x \sqrt{e^x-1} }{e^x+3}$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac1{\sqrt{e^x}} \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \frac{\cos x}{\sin^2 x-5\sin x -6} \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of $\int \cosec^3 x \sec x \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of (Q4) $\int( x+e^x)^2 \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of (Q3) $\int \frac{x^2+1}{x^4-x^2+1} \ dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of (Q2) $\int\frac{\cos{2x}}{\sin x+\cos x}\cdot dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of (Q1.) $\int \tan ^5x \ \sec^3 x \  dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
"Copy of $f:R \to R$ , $f(x)=x+\sin x$ then value of $\int^{2\pi}_0{f^{-1}(x)dx}$",,"Aug 26, 2020 12:53 PM",Soutrik das,,"maths, question",
"Copy of  In a radioactive sample, $^{40} _{19}K$ nuclei either decay into stable $^{40}_{20} Ca$ nuclei with decay
constant",,"Sep 23, 2020 2:32 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
"Copy of A thin spherical insulating shell of radius R carries a uniformly distributed charge such that
the potential at its surface is V0",,"Aug 26, 2020 12:33 PM",Soutrik das,,question,
Copy of Block Climbing on a Movable wedge Problem,,"Aug 26, 2020 12:55 PM",Soutrik das,,"physics, question",
"Copy of Consider a spherical gaseous cloud of mass density p(r) in free space where r is the radial
distance from its center.",,"Aug 26, 2020 12:33 PM",Soutrik das,,question,
Copy of Rotating Disk in a magnetic Field with a hanging weight reaches a fixed $\omega$,,"Aug 26, 2020 12:34 PM",Soutrik das,,question,
Copy of $\int x \sin^2 x \quad dx$,,"Aug 26, 2020 12:53 PM",Soutrik das,../100%20Integrals%20BlackpenRedPen%20e8f460e07c904de0b02abe1066b64353.md,"maths, question",
Copy of Exponent of Prime in Factorial,,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
Copy of All Possible Selections,,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
Copy of Formulae of Integrations,,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
Copy of Circular Permutations,,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
Copy of Properties of $^nC_r$,,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
"Copy of Gamma Function ",,"Aug 26, 2020 12:53 PM",Soutrik das,,maths,
Copy of Parts per Millions (ppm),,"Aug 26, 2020 12:52 PM",Soutrik das,,chemistry,
Copy of Derangements,,"Aug 26, 2020 12:52 PM",Soutrik das,,maths,
"Copy of Gradient ",,"Aug 26, 2020 12:52 PM",Soutrik das,,maths,
Copy of How does hybridization work ?,,"Aug 26, 2020 12:52 PM",Soutrik das,,chemistry,
Wedge Dash To Fischer and reverse,,"Sep 25, 2020 11:04 AM",Soutrik das,../Isomerism%20d75a5631e5684c1da41117e185066ac9.md,chemistry,
Copy of in radius,,"Aug 26, 2020 12:52 PM",Soutrik das,,maths,
Copy of ex radius,,"Aug 26, 2020 12:52 PM",Soutrik das,,maths,
Copy of Approximation  in Definite Integration,,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
"Copy of Integral as a Limit of  a Sum ",,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
Copy of Improper Integral,,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
Copy of Approximation (Odd or Even) in Definite Integration,,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
Copy of Approximation ($\ge$ or $\le$) in Definite Integration,,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
Copy of Implicit v/s Explicit Function,,"Aug 26, 2020 12:48 PM",Soutrik das,,maths,
"Copy of Leibnitz Theorem for Implicit Functions ",../Consider%20a%20spherical%20gaseous%20cloud%20of%20mass%20density%2015d7cd8b741b472c83d2a848a9025faa.md,"Aug 26, 2020 12:48 PM",Soutrik das,,maths,
Copy of Leibnitz theorem for Explicit Functions,,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
"Copy of Partial Fractions ",,"Oct 9, 2020 9:20 PM",Soutrik das,../Integration%201312c408a8a94e6ab99b42c3b72c371c.md,maths,
Cardan's Method,,"Aug 26, 2020 3:52 PM",Soutrik das,,maths,
Basics of Virtual Environment Python,,"Oct 9, 2020 9:33 PM",Soutrik das,../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md,,
Remainder Theorem,,"Aug 27, 2020 10:56 AM",Soutrik das,,maths,
Complex Numbers,"../Coordinate%20Geometry%206c24e8c54553431cbdb416a2da860633.md, ../Let%20s,t,r%20be%20non-zero%20complex%20numbers%20and%20L%20be%20the%204f76b81aceb34603a2a2f03500d69d5e.md","Oct 9, 2020 9:44 PM",Soutrik das,,"chapter, maths",
$x^2(y-x \frac{dy}{dx})=y(\frac{dy}{dx})^2$,,"Aug 27, 2020 3:19 PM",Soutrik das,../Differential%20Equation%20140b16dfa0854772803fa71633eb3ff2.md,"maths, question",
"Let $s,t,r$ be non-zero complex numbers and $L$ be the set of solutions ",,"Oct 9, 2020 9:44 PM",Soutrik das,"../JEE%20ADV%202018%20Paper%202%206a533b43b70745109e4a55fab37f84cb.md, ../Complex%20Numbers%2058520c2afe2a4be2a00a946e780d9af9.md","doubt, maths, question",
JEE ADV 2018 Paper 2,"../Let%20s,t,r%20be%20non-zero%20complex%20numbers%20and%20L%20be%20the%204f76b81aceb34603a2a2f03500d69d5e.md","Oct 9, 2020 9:47 PM",Soutrik das,../Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,,
Coordinate Geometry,../Breaking%20Pair%20of%20Straight%20Lines%20Equation%20c21617c3d3db4c0d9090b461f3fb931b.md,"Aug 30, 2020 1:13 PM",Soutrik das,../Complex%20Numbers%2058520c2afe2a4be2a00a946e780d9af9.md,,
JEE ADV 2019 paper 2,,"Oct 9, 2020 9:47 PM",Soutrik das,../Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,,
Home Page,,"Aug 30, 2020 1:02 PM",Soutrik das,,,
Regiochemistry and StereoChemistry,,"Sep 9, 2020 12:52 PM",Soutrik das,../Projection%20Formulas%20bfd5d251a3e749a6b197a25f05fee687.md,,
$SN_1$ v/s $SN_2$,../E_1%20v%20s%20E_2%20Elimination%20Reaction%20978a2721ce7147dca0d2cfc66a7114a6.md,"Sep 9, 2020 11:10 AM",Soutrik das,,chemistry,
"$E_1$ v/s $E_2$ Elimination Reaction ","../Removing%20OH%20and%20H%20Acid%20Catalyzed%20DeHydration%20%5Bzait%20df170e3acf564a559bccd42ed13cdf6c.md, ../LDA%20Lithium%20Di-Isopropyl%20Amide%2044f4b40077914a91ab3ae4ddd780ea64.md, ../t-Butoxide%20Tertiary%20Butoxide%2017175d1bf518446ca384427629c8fbe1.md","Sep 10, 2020 5:12 PM",Soutrik das,"../SN_1%20v%20s%20SN_2%204d48c13a75404f07b9626959d2aec8d9.md, ../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Thermodynamic%20v%20s%20Kinematic%20Control%20(Reaction%20Coor%2015b67a7d127a4721a0367c8aa6fe1219.md",chemistry,
