Page Name,Child,Column,Last edited by,Parent,Tags,Problems
"Concave v/s Convex ",,"Sep 26, 2020 3:10 PM",Soutrik das,"../Fluid%20Statics%20(%20Hydrostatics%20)%2081f1af117a754b2c990c63bc2ee42d1b.md, ../Optics%209bb9f3e50d454a969522b72343c81b20.md","doubt, physics",
Optics,"../Concave%20v%20s%20Convex%20e158c7e95e5542e8941bd3b43c191a5b.md, ../A%20thin%20convex%20lens%20is%20made%20of%20two%20materials%20with%20r%205684d9a522eb4c5e88d1c99f3010110e.md","Sep 24, 2020 2:31 PM",Soutrik das,,,
Blender,,"Oct 14, 2020 2:21 PM",Soutrik das,,,
"A conducting wire of parabolic shape, initially $y=x^2$ , is moving with velocity $\vec V=V_0 \hat i$ in a non uniform magnetic field $\vec B=B_0\left( 1+\left( \frac y L \right) ^\beta \right) \hat k$. If $V_0$ , $B_0$, $L$ and $\beta$ are positive constants and $\Delta \phi$ is the potential difference developed between the ends of the wire, then which statement is correct ",,"Sep 23, 2020 5:23 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md","adv, physics, question",
"Some easy EMI questions ",,"Sep 23, 2020 4:30 PM",Soutrik das,../EMI%20810a9cff73044ee68f1f88cb89f6f6ca.md,question,
$V=\int \vec x \cdot d \vec l$ when x is constant becomes $V=x\int d\vec l$,,"Sep 26, 2020 3:10 PM",Soutrik das,,"maths, physics",
"In the circuit shown, initially there is no charge on capacitors and keys $S_1$ and $S_2$ are open. The values of the capacitors are $C_1=10 \mu F$, $C_2=30 \mu F$, $C_3=C_4=80 \mu F$. Which statement(s) is correct?",,"Sep 24, 2020 1:36 PM",Soutrik das,"../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md, ../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md","adv, physics, question",
Gatsby.js,,"Nov 17, 2020 8:43 PM",Soutrik das,"../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../JavaScript%20(js)%205d333253d0494518836c9919601069d3.md",,
"A charged shell of radius $R$ carries a total charge $Q$. Given $\Phi$ as the flux of electric field through a closed cylindrical surface of $h$, radius $r$ and with its center same as that of the shell. Here, center of the cylinder is a point on the axis of the cylinder which is equidistanc from its top and bottom surfaces. ",,"Sep 24, 2020 1:36 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
Technology,"../Embed%20Google%20Photos(not%20gif)%20into%20Notion%209e82190d902a49da85796d3fe9a682fe.md, ../Embed%20Big%20Gif%20files%20into%20Notion%2095a2e61c7aa543f1bd968b6acff00793.md, ../Embed%20Codepens%20642b9cc277c747f59d454c85895f29a7.md","Oct 9, 2020 9:10 PM",Soutrik das,../Pending%20Review%20Page%20(%20Page%20Tag%20)%206018cebcfa3e42bea458a555246ab302.md,,
Embed Google Photos(not gif) into Notion,,"Sep 24, 2020 8:53 AM",Soutrik das,../Technology%204de1a6b8321042ff8745fedc23514a99.md,,
Embed Big Gif files into Notion,,"Sep 24, 2020 8:55 AM",Soutrik das,../Technology%204de1a6b8321042ff8745fedc23514a99.md,,
"One mole of a monoatomic ideal gas goes through a thermodynamic cycle, as shown in the volume versus Temperature ($V-T$) diagram",,"Sep 24, 2020 2:19 PM",Soutrik das,../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md,"adv, physics, question",
"A thin convex lens is made of two materials with refractive indices $n_1$ and $n_2$, as shown. The radius of curvature of the left and right spherical surfaces are equal. $f$ is the focal length of the lens when $n_1=n_2=n$. The fola length is $f+\Delta f$ when $n_1=n$ and $n_2=n+\Delta n$. Assuming $\Delta n <<(n-1)$ and $1<n<2$, what is correct ",,"Oct 9, 2020 9:40 PM",Soutrik das,"../JEE%20ADV%202019%20paper%201%206e969e4fdf724b4eba045ad8c9ac0feb.md, ../Optics%209bb9f3e50d454a969522b72343c81b20.md","adv, doubt cleared, physics, question",
"Lower end of a uniform inextensible rope of mass $2$ kg and length $4m$ is attached to a block of mass $7.5kg$ placed on a horizontal floor. $\mu=0.5$. The uppoer end of the rope is held $2m$ above the lower end so that the tangent at the lower end remains http://horizontal.In this situation , the block stays standstill on the floor. $g=10$",,"Sep 24, 2020 4:48 PM",Soutrik das,,"adv, doubt, physics, question",
"Two identical moving coild galvanometers have 10 $\Omega$ resistance and full scale deflection at 2 $\mu A$ current. One of them is converted into a voltmeter of $100mV$ full scale reading and the other into an ammeter of $1mA$ full scale reading using appropriate resistors. These are then used to measure the voltage and current in the ohms law experiment with $R=1000\Omega$ by using an ideal cell ",,"Sep 24, 2020 6:55 PM",Soutrik das,,"adv, question",
"Removing =O ",,"Oct 10, 2020 6:59 PM",Soutrik das,../All%20Chemistry%20Reactions%201c307f824988410b82697364614e9b6a.md,chemistry,
"Surface Chemistry ",,"Sep 25, 2020 4:46 PM",Soutrik das,,,
Conversion,../Conversion%201%207f226bb89c0f45308161db9bb3e9a285.md,"Sep 25, 2020 6:24 PM",Soutrik das,,,
Conversion 1,,"Oct 10, 2020 7:08 PM",Soutrik das,../Conversion%20db9e787fa36c4ba5afd8a879bf34dd5c.md,chemistry,
JEE ADV 2018 paper 1,"../The%20potential%20energy%20of%20a%20particle%20of%20mass%20m%20at%20a%20%2089a3ab09edc74fc1a49aac317c2d6f30.md, ../Consider%20a%20body%20of%20mass%201kg%20at%20rest%20at%20the%20origin%20%20a5fea645754a4858910f5247fe48c1d6.md, ../In%20the%20figure%20below,%20the%20switches%20S_1%20and%20S_2%20are%20%20aa33d3e50a9e4613bb48996443aaf0aa.md","Sep 26, 2020 7:43 AM",Soutrik das,,,
"The potential energy of a particle of mass $m$ at a distance $r$ from a fixed point $O$ is given by $V(r)=kr^2/2$, where $k$ is a positive constant. This particle is moving in a circular orbit of radius $R$ about the point $O$. If $v$ is the speed of the particle and $L$ is the magnitude of its angular momentum about $O$, which are correct ?",,"Sep 26, 2020 8:11 AM",Soutrik das,../JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md,"adv, physics, question",
"Consider a body of mass $1kg$ at rest at the origin at time $t=0$. A force $\vec F=(\alpha t\hat i +\beta \hat j)$ is applied on the body, where $\alpha=1Ns^{-1}$ and $\beta=1N$. The torque acting on the body about the origin at time $t=1s$ is $\vec \tau$, Which are true ? ",,"Oct 9, 2020 9:40 PM",Soutrik das,"../JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md, ../Rotational%20Mechanics%204ed592873b3d432b99c2bb7f12e1635e.md","doubt cleared, physics, question",
Rotational Mechanics,../Consider%20a%20body%20of%20mass%201kg%20at%20rest%20at%20the%20origin%20%20a5fea645754a4858910f5247fe48c1d6.md,"Sep 26, 2020 3:10 PM",Soutrik das,,"chapter, physics",
"An automobile has a weight of 2700 lb and is traveling forward at 4 ft/s when it crashes into the wall. If the impact occurs in 0.06 s, determine the average impulsive force acting on the car. Assume the brakes are not applied. If the coefficient of kinetic friction between the wheels and the pavement is μk = 0.3, calculate the impulsive force on the wall if the brakes were applied during the crash. The brakes are applied to all four wheels so that all the wheels slip",,"Sep 26, 2020 11:25 AM",Soutrik das,../COM%20Center%20of%20Mass%20818fb800a90141c6955e53b5ae99345f.md,"physics, question",
"Charging Discharging Capacitor Inductor ( RC and LR ) ",,"Sep 26, 2020 3:10 PM",Soutrik das,../Capacitance%20caeded92469e47e098a21d1ef36e2d0c.md,physics,
"Electric Field ( Gauss Law ) ",../Find%20Electric%20Flux%20when%20equation%20of%20Electric%20Field%20d018bab25c6a405a96e94c0d7d9fa1ab.md,"Sep 26, 2020 3:11 PM",Soutrik das,,"chapter, physics",
"In the figure below, the switches $S_1$ and $S_2$ are closed simultaneously at $t=0$ and a current starts to flow in the circuit. Both the batteries have the same EMF. Ignore mutual inductance. The current $I$ in the middle wire reaches its maximum magnitude $I_{max}$ at time $t=\tau$",,"Sep 26, 2020 5:21 PM",Soutrik das,../JEE%20ADV%202018%20paper%201%20156baa1a568144639dd9e5b9a1b32e04.md,,
"As shown in the figure below the ideal gasses of equal amount substance are enclosed inside cylinders $A$ and $B$ ( $S_A$ and $S_B$ are cross sectional areas ) . the piston in A comes to rest at a distance $L_A$ from A's base, and the piston in B comes to rest at distance $L_B$ from B's base. The absolute temperature and pressure f the ideal gas inside B are $T_B$ and $p_B$ (and likewise for A ) . Ignore atmospheric pressure.",,"Sep 26, 2020 4:48 PM",Soutrik das,,,
"Regression ",,"Sep 28, 2020 7:53 AM",Soutrik das,,"aiml, data science",
"Deep Learning ","../NumPy%20e8320948215b4ffeb824a8756c7f33cc.md, ../Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md, ../Matplotlib%203b87d785ac084fa8b00de436bb24b41d.md, ../Diagnosing%20Neural%20Networks%2017b2dfe8c703496fb9ba83180f8baaf1.md, ../Think%20Stats%20e488afe492224725ae4c64c54a2b052e.md","Oct 1, 2020 8:07 PM",Soutrik das,../Deep%20Learning%20(%20Nielsons%20Book%20)%203b2b8d76d53748e78e6d6c9708b11ea9.md,"aiml, data science",
Sublime Text,,"Oct 31, 2020 4:50 PM",Soutrik das,,,
NumPy,,"Sep 29, 2020 4:45 PM",Soutrik das,../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"aiml, data science, maths",
Numerical Analysis,"../Gaussian%20Elimination%20db9a562b83654e55977775ee38580604.md, ../LU%20Decomposition%206d396b33d0354d1ea61513c005a86c73.md, ../Gauss-Jordan%20Elimination%209b380ad490914edd8970121fa886b69a.md, ../Linear%20Algebra%2065ba3d6a197e4a3185978c1dcf3845be.md","Sep 30, 2020 11:59 AM",Soutrik das,../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"aiml, data science, maths",
Gaussian Elimination,,"Sep 29, 2020 4:20 PM",Soutrik das,../Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,maths,
LU Decomposition,,"Sep 29, 2020 4:20 PM",Soutrik das,../Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,maths,
Gauss-Jordan Elimination,,"Sep 29, 2020 4:21 PM",Soutrik das,../Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,maths,
"Matplotlib ",,"Oct 9, 2020 9:33 PM",Soutrik das,"../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md, ../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md",,
"Multivariable Calculus ",,"Sep 30, 2020 4:36 PM",Soutrik das,../three%20js%202046713f87c64c2da1812a98f8cc20ce.md,"chapter, maths",
three.js,../Multivariable%20Calculus%206ce8e7f50891492bad2c6a31d0dbb7e1.md,"Sep 29, 2020 8:15 PM",Soutrik das,,,
Nutrition,,"Sep 30, 2020 8:45 AM",Soutrik das,,,
Excercise,,"Oct 8, 2020 11:20 AM",Soutrik das,,,
Linear Algebra,../Matrix%20Determinant%20(Cookbook)%20064e452271144bcd9eeb92b4668c0e2c.md,"Sep 30, 2020 1:10 PM",Soutrik das,../Numerical%20Analysis%20d3653cd8f5d34935bd07cd197e0d9a8e.md,chapter,
"Diagnosing Neural Networks ",,"Oct 1, 2020 3:33 PM",Soutrik das,../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"aiml, data science",
"Deep Learning ( Nielsons Book ) ",../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md,"Oct 1, 2020 4:27 PM",Soutrik das,,,
Matrix Determinant (Cookbook),,"Oct 2, 2020 3:22 PM",Soutrik das,../Linear%20Algebra%2065ba3d6a197e4a3185978c1dcf3845be.md,"chapter, maths",
"Manim ",,"Oct 9, 2020 9:33 PM",Soutrik das,../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md,maths,
Think Stats,,"Oct 9, 2020 9:32 PM",Soutrik das,"../Deep%20Learning%2075523c3ebbed4978aa999d16c0c00da0.md, ../Books%20c09fa9d40bfa499ba9545c5017dd2010.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md",book,
Taylor Series Expansion,,"Oct 2, 2020 7:02 PM",Soutrik das,,maths,
Algorithm,,"Oct 3, 2020 10:55 AM",Soutrik das,,,
"Print all Combination of $r$ itemrs in a list of $n$ items ",,"Oct 3, 2020 11:00 AM",Soutrik das,../Algorithm%209cd60dea97f742dba4e01aa71877da77.md,,
"Setting up a Virtual Machine ",,"Oct 4, 2020 5:43 PM",Soutrik das,,,
Web Dev Basics (HTML CSS JS),,"Oct 4, 2020 6:46 PM",Soutrik das,,,
"Embed Codepens ",,"Oct 4, 2020 8:14 PM",Soutrik das,../Technology%204de1a6b8321042ff8745fedc23514a99.md,,
AHK,,"Oct 5, 2020 9:06 AM",Soutrik das,,,
Pyautogui,,"Oct 9, 2020 9:32 PM",Soutrik das,"../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md",,
College Branch Selection,,"Oct 6, 2020 6:00 PM",Soutrik das,,,
ALL Chapters,,"Oct 6, 2020 8:38 PM",Soutrik das,,,
"BASH Scripting ",,"Oct 10, 2020 11:52 AM",Soutrik das,,,
Pandas,,"Oct 9, 2020 9:32 PM",Soutrik das,"../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md",,
"Thomas Calculus ",,"Oct 9, 2020 9:26 PM",Soutrik das,../Books%20c09fa9d40bfa499ba9545c5017dd2010.md,book,
JEE Advance 2020,"../A%20football%20of%20radius%20R%20is%20kept%20on%20a%20hole%20of%20radius%20832167877b88469fa4f7c5e06ee02e42.md, ../A%20light%20disc%20made%20of%20aluminium%20(a%20nonmagnetic%20mate%205368ec9bdccd409da97110b2aec9fa23.md, ../Untitled%20aab7832a2fa3483a835aa4af85172d7c.md","Oct 9, 2020 9:47 PM",Soutrik das,../Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,,
A football of radius R is kept on a hole of radius r (𝑟 < 𝑅) made on a plank kept horizontally. Oneend of the plank is now lifted so that it gets tilted making an angle 𝜃 from the horizontal as shown inthe figure below. The maximum value of 𝜃 so that the football does not start rolling down the planksatisfies (figure is schematic and not drawn to scale),,"Oct 8, 2020 8:22 PM",Soutrik das,../JEE%20Advance%202020%2079ed257374724a619c68f54cbd30dfd9.md,,
"A light disc made of aluminium (a nonmagnetic material) is kept horizontally and is free to rotateabout its axis as shown in the figure. A strong magnet is held vertically at a point above the disc awayfrom its axis. On revolving the magnet about the axis of the disc, the disc will (figure is schematicand not drawn to scale)",,"Oct 8, 2020 8:37 PM",Soutrik das,../JEE%20Advance%202020%2079ed257374724a619c68f54cbd30dfd9.md,,
,,"Oct 8, 2020 8:31 PM",Soutrik das,../JEE%20Advance%202020%2079ed257374724a619c68f54cbd30dfd9.md,,
C++,"../Pointers%20C++%20bbe25d6d727344fb89accf91b6ff5994.md, ../Antti%20Larson%20-%20Guide%20to%20Competitive%20Programming%20C+%20c2e24064f07a426291ab856eb41c3e45.md","Oct 13, 2020 9:47 PM",Soutrik das,../Programming%20Language%20670bb2364416452e9e1bd7e21dd306de.md,,
Thermodynamics,"../Thermodynamic%20v%20s%20Kinematic%20Control%20(Reaction%20Coor%2015b67a7d127a4721a0367c8aa6fe1219.md, ../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Hammond's%20Postulate%20af25b91f7adb4392bbf7f457fba353dc.md","Oct 9, 2020 8:39 PM",Soutrik das,,,
Chemical Kinetics,"../Thermodynamic%20v%20s%20Kinematic%20Control%20(Reaction%20Coor%2015b67a7d127a4721a0367c8aa6fe1219.md, ../Reaction%20Coordinate%201e6630e802fa4f2990c7779384be6529.md, ../Hammond's%20Postulate%20af25b91f7adb4392bbf7f457fba353dc.md","Oct 9, 2020 8:39 PM",Soutrik das,,,
JavaScript (js),../Gatsby%20js%204075d121dc8c4efc8074cf5678a5048d.md,"Oct 9, 2020 9:06 PM",Soutrik das,../Programming%20Language%20670bb2364416452e9e1bd7e21dd306de.md,,
Pending Review Page ( Page Tag ),../Technology%204de1a6b8321042ff8745fedc23514a99.md,"Oct 9, 2020 9:14 PM",Soutrik das,,,
Magnetism,../Magnetic%20North%20Pole%20v%20s%20Geomagnetic%20North%20Pole%2017c20d437f6e4b729362c98b132c74fb.md,"Oct 14, 2020 11:41 AM",Soutrik das,,,
Katex Useful Commands,,"Oct 10, 2020 12:04 PM",Soutrik das,,,
Gnome,,"Oct 10, 2020 12:13 PM",Soutrik das,,,
Recordable,../A%20cylindrical%20capillary%20tube%20of%200%202%20mm%20radius%20is%20m%202b54ce7ef00a455592040d1fec07c0a7.md,"Oct 10, 2020 7:05 PM",Soutrik das,,,
Simple Table View Link,,"Oct 10, 2020 7:14 PM",Soutrik das,,,
Chemical Compound,"../LDA%20Lithium%20Di-Isopropyl%20Amide%2044f4b40077914a91ab3ae4ddd780ea64.md, ../THF%20Tetrahydrofuran%20c8917210d23d4c4ab1fec2f04e13b42e.md, ../Borane%20BH_3%20c67e9a17d9e348a4bbff7fa6b8ff8b89.md","Oct 10, 2020 7:15 PM",Soutrik das,,,
Question Papers,"../JEE%20Advance%202020%2079ed257374724a619c68f54cbd30dfd9.md, ../JEE%20ADV%202019%20paper%202%20ab6400f90e554732a2cdd8bc08abbeef.md, ../JEE%20ADV%202018%20Paper%202%206a533b43b70745109e4a55fab37f84cb.md, ../JEE%20Main%208%20Jan%202019%20shift%201%20d5cb817a52e74bb2bffbb04dc8eb9ddc.md","Oct 10, 2020 7:15 PM",Soutrik das,,,
Integration,"../Copy%20of%20Partial%20Fractions%2074642fd1e861448db8464aa44afce110.md, ../Copy%20of%20Approximation%20(%20ge%20or%20le)%20in%20Definite%20Inte%2052495e175a114a7ebf6dda4f36b92523.md, ../Copy%20of%20Improper%20Integral%209e99ca6a96ef42d8a73829e1c0f36f6b.md, ../Copy%20of%20Approximation%20(Odd%20or%20Even)%20in%20Definite%20In%209734f20c38d34d299a13e3864a2ba175.md, ../Copy%20of%20Leibnitz%20theorem%20for%20Explicit%20Functions%201ab06d4cdca040cdbef8570c09e1852e.md, ../int_1%5Ee%20cfrac%7B%20pi%20cos%7B(%20pi%20ln%20x)%7D%7D%7Bx%7Ddx%2066742ef2ac49413490e75c3aa2e8ec72.md, ../Copy%20of%20Integral%20as%20a%20Limit%20of%20a%20Sum%206a1d3c293a874b248f831721a974d593.md, ../Copy%20of%20Approximation%20in%20Definite%20Integration%20c4ad219b288b4f5fb91c794580b729fc.md","Oct 10, 2020 7:15 PM",Soutrik das,,maths,
Python.py,"../Pandas%205e3b69e372144885a8c818faee9ad5da.md, ../Pyautogui%209f29885a1744453c9fe5754674a2a12b.md, ../Think%20Stats%20e488afe492224725ae4c64c54a2b052e.md, ../Manim%20e49ac2055a8c4848abe8f82b499c3f32.md, ../Matplotlib%203b87d785ac084fa8b00de436bb24b41d.md, ../Basics%20of%20Virtual%20Environment%20Python%205599e2d0d92f4edc8ee9ce4194abfed6.md, ../Numerical%20Methods%20in%20Engineering%20With%20Python%20by%20Ja%20b57be2e2e3374e74b6683a474e98005e.md","Oct 18, 2020 7:54 AM",Soutrik das,../Programming%20Language%20670bb2364416452e9e1bd7e21dd306de.md,,
Programming Language,"../JavaScript%20(js)%205d333253d0494518836c9919601069d3.md, ../Python%20py%2037f8f5b26a314016a6c73e8e8340af98.md, ../C++%20af78ebe91d7e4bd78a6245cc8bc0e666.md, ../Dart%202e56fd29eb544436909a39573c4977b0.md","Oct 10, 2020 7:16 PM",Soutrik das,,,
Books,"../Thomas%20Calculus%20d18ebe938b2443e9811a1fafabd3e113.md, ../Cengage%20BM%20Sharma%209c189c7938ba426db954efeea20531ef.md, ../David%20M%20Klein%20Organic%20Chemistry%20Doubts%20e71957bc1ec1496bb5d137ab25538e7e.md, ../Numerical%20Methods%20in%20Engineering%20With%20Python%20by%20Ja%20b57be2e2e3374e74b6683a474e98005e.md, ../Think%20Stats%20e488afe492224725ae4c64c54a2b052e.md, ../Antti%20Larson%20-%20Guide%20to%20Competitive%20Programming%20C+%20c2e24064f07a426291ab856eb41c3e45.md","Oct 10, 2020 7:16 PM",Soutrik das,,,
Algorithm,"../Print%20all%20Combination%20of%20r%20itemrs%20in%20a%20list%20of%20n%20i%20bdb669b41f654006879ef82c950dc944.md, ../Antti%20Larson%20-%20Guide%20to%20Competitive%20Programming%20C+%20c2e24064f07a426291ab856eb41c3e45.md","Oct 13, 2020 8:03 PM",Soutrik das,,cs,
ECE  Electronics and Communication Engineering  IIT G,,"Oct 10, 2020 10:16 PM",Soutrik das,,,
JEE Main 8 Jan 2019 shift 1,,"Oct 11, 2020 8:17 AM",Soutrik das,../Question%20Papers%20e41e44befa374fa5bb921baeb9700a13.md,,
Functions,,"Oct 14, 2020 12:15 PM",Soutrik das,,,
Competitive Programming Problems,,"Oct 12, 2020 7:43 AM",Soutrik das,,,
"Antti Larson - Guide to Competitive Programming C++ ",../Grokking%20Algorithm%20-%20Aditya%20Bhargava%20755f6e92ceb240ec99d0139e91d9682f.md,"Nov 5, 2020 2:03 PM",Soutrik das,"../C++%20af78ebe91d7e4bd78a6245cc8bc0e666.md, ../Algorithm%209cd60dea97f742dba4e01aa71877da77.md, ../Books%20c09fa9d40bfa499ba9545c5017dd2010.md","book, cs",
JEE Problem DataBase,,"Oct 13, 2020 10:15 PM",Soutrik das,,,
GitHub,,"Nov 11, 2020 6:47 PM",Soutrik das,,,
Git,,"Nov 2, 2020 10:04 PM",Soutrik das,,book,
Flutter,"../DartDocs%207376bcaf70a24cde8fdb930422540720.md, ../Flutter%20Animations%20f4af789333ff4005bb653a363180df9a.md","Nov 7, 2020 9:59 PM",Soutrik das,"../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md, ../Dart%202e56fd29eb544436909a39573c4977b0.md, ../Eric%20Windmill%20Flutter%20in%20Action%20Manning%20(Book)%20b546b6f7b9a24607b7b14f7651853244.md",,
Libraries/Frameworks,"../Gatsby%20js%204075d121dc8c4efc8074cf5678a5048d.md, ../D3js%20aa2d4514f8604c95841b69e97442c2ea.md, ../Pandas%205e3b69e372144885a8c818faee9ad5da.md, ../Pyautogui%209f29885a1744453c9fe5754674a2a12b.md, ../Matplotlib%203b87d785ac084fa8b00de436bb24b41d.md, ../Flutter%2089e076858c9b4872bb9294c2e69fb0f8.md, ../adb%20be4ad89f7439440fa78684c8c58f7c54.md, ../React%20js%20080aff2e6c5a4f8195d45f5676828df0.md","Oct 15, 2020 8:59 PM",Soutrik das,,,
Dart,../Flutter%2089e076858c9b4872bb9294c2e69fb0f8.md,"Nov 7, 2020 9:19 AM",Soutrik das,../Programming%20Language%20670bb2364416452e9e1bd7e21dd306de.md,,
adb,,"Nov 5, 2020 9:39 PM",Soutrik das,../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md,,
DartDocs,,"Nov 3, 2020 5:44 PM",Soutrik das,../Flutter%2089e076858c9b4872bb9294c2e69fb0f8.md,,
Soft Skills (Page Tag),../Touch%20typing%209d174287434249f7bcda0ea4aa17625e.md,"Oct 18, 2020 9:04 PM",Soutrik das,,,
"Touch typing ",,"Oct 18, 2020 9:04 PM",Soutrik das,../Soft%20Skills%20(Page%20Tag)%20df399e7d997f417d998fdcb53b0ec249.md,,
"Animations to Recreate ",,"Oct 18, 2020 9:18 PM",Soutrik das,,,
Stacked Package Flutter,,"Oct 19, 2020 7:21 PM",Soutrik das,,,
Flutter Animations,,"Nov 8, 2020 12:47 PM",Soutrik das,../Flutter%2089e076858c9b4872bb9294c2e69fb0f8.md,,
But How Do It Work?,,"Oct 31, 2020 9:29 AM",Soutrik das,,book,
Eric Windmill Flutter in Action Manning (Book),../Flutter%2089e076858c9b4872bb9294c2e69fb0f8.md,"Nov 1, 2020 7:04 PM",Soutrik das,,,
Now-u App,,"Nov 3, 2020 6:34 AM",Soutrik das,,,
Rive Animation,,"Nov 5, 2020 8:21 AM",Soutrik das,,,
Grokking Algorithm - Aditya Bhargava,,"Nov 5, 2020 3:19 PM",Soutrik das,../Antti%20Larson%20-%20Guide%20to%20Competitive%20Programming%20C+%20c2e24064f07a426291ab856eb41c3e45.md,,
"WebSockets ",,"Nov 8, 2020 7:42 PM",Soutrik das,,,
Clean Architecture Robert C Martin,,"Nov 9, 2020 8:22 AM",Soutrik das,,book,
"Rules Wiki Main Storage ",,"Nov 9, 2020 10:02 AM",Soutrik das,,,
" Automation of Notion Backup ",,"Nov 14, 2020 7:44 AM",Soutrik das,,,
Boiled Eggs,,"Nov 9, 2020 6:29 PM",Soutrik das,,,
"Willpower - Roy F. Baumester , John Tierny",,"Nov 10, 2020 8:13 AM",Soutrik das,,book,
"Carpentry ",,"Nov 10, 2020 9:26 AM",Soutrik das,,,
Https request,,"Nov 11, 2020 2:27 PM",Soutrik das,,,
How to ask a better question SO #blog,,"Nov 12, 2020 10:46 AM",Soutrik das,../Blog%206c392a4da6b740a1af9ee606673e0c01.md,,
Blog,../How%20to%20ask%20a%20better%20question%20SO%20#blog%209bff050424084f71a617afd7cec3cfe7.md,"Nov 12, 2020 10:46 AM",Soutrik das,,,
"React.js ",,"Nov 13, 2020 7:10 PM",Soutrik das,../Libraries%20Frameworks%203ca2a70d57044c5f9f825e715002487c.md,,
Network,,"Nov 14, 2020 9:07 PM",Soutrik das,,chapter,