Concept,Topics,Chapter,Subject,No. of Problems,Chapter (D),Chapter (text),Column (text),Copy of No. of Problems,Subject( D),Date
$\int_0^{\frac{\pi}{2}}\sin^m{x}.\cos^n{x}dx$ using Gamma Function,https://www.notion.so/Gamma-Function-ec4433df537749bb8b13d9fbf3f2b197,,,,"Jun 28, 2020 11:18 AM","Jun 28, 2020 11:18 AM","Gamma Function ",,,"Jun 28, 2020 11:23 AM"
Concept,,,,,,,,,,"Jun 26, 2020 8:04 AM"
Important Formula,https://www.notion.so/Formulae-of-Integrations-282f4df7529848b3bdeb0f3ed2853094,,,,"Jun 26, 2020 11:48 AM","Jun 26, 2020 11:48 AM",Formulae of Integrations,,,"Jun 26, 2020 12:03 PM"
Integral of inverse functions (Laisant Theorem),https://www.notion.so/Miscellaneous-d2ac3252e51b42a4ba7c34d1be6dfd04,,,,"Jun 26, 2020 12:26 PM","Jun 26, 2020 12:26 PM",Miscellaneous,,,"Jun 26, 2020 12:42 PM"
"Partial Fractions ",https://www.notion.so/Partial-Fractions-5d2162095c6c460e935368679c033070,,,,"Jun 26, 2020 6:58 PM","Jun 26, 2020 6:58 PM",Partial Fractions,,,"Jun 26, 2020 7:05 PM"
"Integral of Linear /Quadratic ",https://www.notion.so/Integration-by-Substitution-1d8b3e8697be4ac8a8e4f70f75c1eb24,,,,"Jun 26, 2020 7:52 PM","Jun 26, 2020 7:52 PM",Integration by Substitution,,,"Jun 26, 2020 7:52 PM"
Integral of $\frac{\sqrt{Linear}}{\text{Linear or Quadratic}}$,https://www.notion.so/Integration-by-Substitution-1d8b3e8697be4ac8a8e4f70f75c1eb24,,,,"Jun 26, 2020 7:52 PM","Jun 26, 2020 7:52 PM",Integration by Substitution,,,"Jun 26, 2020 8:18 PM"
DI Method ( Integration By parts),https://www.notion.so/Integration-By-Parts-45d6eccf1e0b49519c758ca226f2e668,,,,"Jun 26, 2020 8:39 PM","Jun 26, 2020 8:39 PM",Integration By Parts,,,"Jun 26, 2020 8:39 PM"
Integration is independent of change of variable,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:50 PM"
Definite integrals can be broken to different ranges,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:51 PM"
Interchanging limits is same as putting a minus,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:51 PM"
"If Symmetrical about $\color{red}\large a$ $\int_0^{2a}f(x)dx$ becomes $2\int_0^af(x)dx$ ,if skew Symmetric then becomes 0 ",https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:52 PM"
$\int_a^bf(x)dx=\int_a^bf(a+b-x)dx$,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 2:02 PM"
For Periodic Functions with period T,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 2:06 PM"
"Leibnitz Theorem for Implicit Functions ",https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:29 PM"
Implicit v/s Explicit Function,https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:29 PM"
Leibnitz theorem for Explicit Functions,https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:30 PM"
Approximation ($\ge$ or $\le$) in Definite Integration,https://www.notion.so/Approximation-in-Definite-Integration-394d7b4b40de44aba4cea1270a2942e5,,,,"Jun 28, 2020 9:41 AM","Jun 28, 2020 9:41 AM",Approximation  in Definite Integration,,,"Jun 28, 2020 9:49 AM"
Approximation (Odd or Even) in Definite Integration,https://www.notion.so/Approximation-in-Definite-Integration-394d7b4b40de44aba4cea1270a2942e5,,,,"Jun 28, 2020 9:41 AM","Jun 28, 2020 9:41 AM",Approximation  in Definite Integration,,,"Jun 28, 2020 10:29 AM"
"Integral as a Limit of  a Sum ",https://www.notion.so/Approximation-in-Definite-Integration-394d7b4b40de44aba4cea1270a2942e5,,,,"Jun 28, 2020 9:41 AM","Jun 28, 2020 9:41 AM",Approximation  in Definite Integration,,,"Jun 28, 2020 10:51 AM"
Improper Integral,https://www.notion.so/Approximation-in-Definite-Integration-394d7b4b40de44aba4cea1270a2942e5,,,,"Jun 28, 2020 9:41 AM","Jun 28, 2020 9:41 AM",Approximation  in Definite Integration,,,"Jun 28, 2020 11:02 AM"
$\cot ^{-1} \frac{1}{x}=\pi -\tan ^{-1} x$,https://www.notion.so/Inverse-Rule-of-Inverse-Trigo-c10933f0f4964d0582929e99bd81b429,,,,"Jun 28, 2020 6:20 PM","Jun 28, 2020 6:20 PM",Inverse Rule of Inverse Trigo,,,"Jun 28, 2020 7:05 PM"
Area of a triangle and Parallelogram,https://www.notion.so/Cross-Product-987e38fd98d548e4a3c2c3dcef9bd55d,,,,"Jun 30, 2020 9:08 AM","Jun 30, 2020 9:08 AM",Cross Product,,,"Jun 30, 2020 9:08 AM"
"ppm Formula ",https://www.notion.so/Parts-per-Millions-ppm-feadfe15e8c746d58a061f3acc543732,,,,"Jun 30, 2020 7:04 PM","Jun 30, 2020 7:04 PM",Parts per Millions (ppm),,,"Jul 1, 2020 7:58 AM"
bpt of positional isomer  alkanes,https://www.notion.so/bpt-and-mpt-of-alkane-0f005011c68b481ebc8b70d2603911b0,,,,"Jul 1, 2020 9:14 AM","Jul 1, 2020 9:14 AM",bpt and mpt of alkane,,,"Jul 1, 2020 9:21 AM"
Greatest Term in binomial Expansion,https://www.notion.so/Properties-of-nC_r-67c383138cc04da3b48ff9d4aa656184,,,,"Jun 26, 2020 11:36 AM","Jun 26, 2020 11:36 AM",Properties of ^nC_r,,,"Jul 1, 2020 12:54 PM"
ex radius formula,https://www.notion.so/ex-radius-a0e11efd69b6482f8f4a5ecac25a9017,,,,"Jul 1, 2020 1:36 PM","Jul 1, 2020 1:36 PM",ex radius,,,"Jul 1, 2020 1:36 PM"
Derangement Formula,https://www.notion.so/Derangements-3ad8fcc314fc485490dd175ec46a7467,,,,"Jul 1, 2020 2:01 PM","Jul 1, 2020 2:01 PM",Derangements,,,"Jul 1, 2020 2:02 PM"
"Gradient ",https://www.notion.so/Derivatives-of-Multivariable-Functions-30709994887843129eab64746e07fb04,,,,"Jul 1, 2020 9:37 PM","Jul 1, 2020 9:37 PM",Derivatives of Multivariable Functions,,,"Jul 1, 2020 9:39 PM"
"Limit of the form $1^\infin$ ",https://www.notion.so/Basic-Methods-of-Evaluating-2458e9aa95534bd09b2225aedb494660,,,,"Jul 3, 2020 12:20 PM","Jul 3, 2020 12:20 PM","Basic Methods of Evaluating ",,,"Jul 3, 2020 12:20 PM"
Height needed for lift off of Spring Block System,https://www.notion.so/Vertical-Two-Block-Spring-System-d18afa337f7c4b00bf0ab41b463160a3,,,,"Jul 5, 2020 8:20 PM","Jul 5, 2020 8:20 PM",Vertical Two Block Spring System,,,"Jul 5, 2020 8:36 PM"
Compression needed for Lift off Spring Block System,https://www.notion.so/Vertical-Two-Block-Spring-System-d18afa337f7c4b00bf0ab41b463160a3,,,,"Jul 5, 2020 8:20 PM","Jul 5, 2020 8:20 PM",Vertical Two Block Spring System,,,"Jul 5, 2020 8:36 PM"
"Block climbing a movable Wedge ",https://www.notion.so/COM-01146020a0c34ca4b2d03f2f5ab019da,,,,"Jul 5, 2020 9:06 PM","Jul 5, 2020 9:06 PM",COM,,,"Jul 5, 2020 9:06 PM"
Wedge Dash To Fischer and reverse,https://www.notion.so/Optical-Isomerism-d01427de6e814fddbef75e3b16af16db,,,,"Jul 5, 2020 9:10 PM","Jul 5, 2020 9:10 PM","Optical Isomerism ",,,"Jul 5, 2020 9:11 PM"
Concentration of Products in Parallel Reaction wrt to Time,https://www.notion.so/Parallel-Reactions-7b508ec084044c3db087595f6ba0f70a,,,,"Jul 18, 2020 6:21 AM","Jul 18, 2020 6:21 AM","Parallel Reactions ",,,"Jul 18, 2020 7:20 AM"
"Relation of $E_a$ effective with $E_{a1}$, $E_{a2}$, $k_1$, $k_2$ ",https://www.notion.so/Parallel-Reactions-7b508ec084044c3db087595f6ba0f70a,,,,"Jul 18, 2020 6:21 AM","Jul 18, 2020 6:21 AM","Parallel Reactions ",,,"Jul 18, 2020 7:21 AM"